District ,Mandal,Muncipality,WardName,female,male,transgender
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  4,989,531,1
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  5,2248,1091,6
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  6,2738,1391,9
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  7,1369,606,6
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  8,3114,1418,5
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward No  9,1851,837,9
KARIMNAGAR,KORATLA,Koratla, Ward No 28,849,464,
KARIMNAGAR,KORATLA,Koratla, Ward No 29,466,292,2
KARIMNAGAR,KORATLA,Koratla, Ward No 30,333,162,
KARIMNAGAR,KORATLA,Koratla, Ward No 31,322,119,3
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  1,260,79,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  10,335,261,3
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  11,280,161,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  12,206,68,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  13,229,72,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  14,239,131,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  15,315,198,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  16,226,73,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  17,233,73,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  18,184,53,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  19,222,89,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  2,234,103,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  20,235,78,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  21,214,48,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  22,230,142,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  23,254,155,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  24,737,497,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  3,233,110,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  4,664,484,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  5,287,154,
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  6,179,95,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  7,626,458,2
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  8,333,152,2
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No  9,336,192,3
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No 25,404,275,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No 26,326,182,1
KARIMNAGAR,KORATLA,Koratla,Revenue Ward No 27,274,106,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 1,623,390,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 10,195,66,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 11,210,120,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 12,230,132,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 13,562,299,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 14,512,325,3
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 15,237,111,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 16,272,127,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 17,193,57,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 18,289,165,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 19,182,63,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 2,393,182,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 20,702,554,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 21,180,77,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 22,141,71,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 23,193,87,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 24,229,91,2
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 3,238,114,1
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 4,436,204,2
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 5,205,63,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 6,311,133,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 7,379,231,3
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 8,421,207,
KARIMNAGAR,METPALLE,Metpalle,Revenue Ward 9,345,138,
KARIMNAGAR,PEDDAPALLE,Peddapalli,Revenue Ward No.1,585,313,
KARIMNAGAR,PEDDAPALLE,Peddapalli,Revenue Ward No.2,1489,823,8
KARIMNAGAR,PEDDAPALLE,Peddapalli,Revenue Ward No.3,938,489,1
KARIMNAGAR,PEDDAPALLE,Peddapalli,Revenue Ward No.4,1446,822,3
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 23,234,152,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 24,57,40,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 25,379,202,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 26,473,272,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 27,587,364,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 28,1,1,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 29,16,12,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 30,80,38,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 31,260,135,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 32,29,19,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 33,295,178,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 34,299,210,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 35,272,196,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 36,195,136,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 37,369,230,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 38,212,146,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 39,101,56,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 40,69,49,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 41,27,10,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 42,30,16,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 43,15,9,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 45,513,308,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 46,299,178,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 47,47,8,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 48,117,36,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 49,4,3,
KARIMNAGAR,RAMAGUNDAM,Ramagundam, Ward No 50,1,1,
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  1,1805,997,3
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  10,1457,910,4
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  11,2055,1176,6
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  12,1107,651,3
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  13,938,611,4
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  14,1415,920,6
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  15,1300,755,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  16,535,306,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  17,875,544,3
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  18,487,290,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  19,1423,679,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  2,900,533,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  20,257,126,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  21,1600,907,13
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  22,230,155,5
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  3,1475,919,5
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  4,785,461,
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  5,755,446,2
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  6,832,450,1
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  7,822,541,3
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  8,1763,1037,4
KARIMNAGAR,RAMAGUNDAM,Ramagundam,Revenue Ward No  9,919,587,8
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  1,1301,513,
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  10,1267,612,3
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  11,1191,531,
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  12,1383,543,3
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  2,816,280,
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  3,823,364,5
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  4,798,350,
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  5,260,93,2
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  6,609,226,3
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  7,533,213,3
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  8,848,292,2
KARIMNAGAR,SIRCILLA,Sircilla,Revenue Ward No  9,1244,575,5
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.1,978,488,1
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.10,675,451,2
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.2,457,238,4
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.3,129,51,
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.4,116,41,1
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.5,270,133,3
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.6,213,103,
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.7,591,255,6
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.8,581,288,2
KARIMNAGAR,VEMULAWADA,Vemulawada,Revenue Ward No.9,693,283,1
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  1,1618,837,4
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  2,659,292,1
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  3,2193,1051,12
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  4,2839,1501,13
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  5,3298,1499,8
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  6,501,269,
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  7,713,257,
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  8,1744,881,4
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No  9,378,155,1
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No 10,995,433,5
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No 11,3385,1706,8
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No 12,10012,5653,31
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No. 37,104,61,
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No. 38,51,33,
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No. 39,74,62,1
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No. 40,183,86,
KHAMMAM,KHAMMAM (URBAN),Khammam,Revenue Ward No. 41,65,36,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  1,282,112,5
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  10,370,199,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  11,304,159,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  12,309,158,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  13,445,245,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  14,243,123,3
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  15,117,48,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  16,319,163,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  17,216,101,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  2,364,179,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  3,364,176,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  4,426,183,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  5,444,251,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  6,341,183,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  7,248,130,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  8,280,122,4
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No  9,270,114,4
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 18,239,85,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 19,185,73,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 20,134,67,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 21,107,40,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 22,350,176,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 23,416,205,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 24,468,248,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 25,319,183,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 26,292,136,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 27,121,45,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 28,195,101,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 29,246,116,2
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 30,261,129,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 31,191,100,1
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 32,244,93,
KHAMMAM,KOTHAGUDEM,Kothagudem,Revenue Ward No 33,202,87,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.1,663,324,1
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.10,54,27,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.11,172,83,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.12,360,162,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.13,105,61,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.14,16,12,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.15,989,574,4
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.2,95,47,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.3,218,125,1
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.4,171,111,1
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.5,45,18,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.6,26,4,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.7,152,84,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.8,92,53,
KHAMMAM,MADHIRA,Madhira,Revenue Ward No.9,149,85,
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 1,174,100,
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 10,1172,792,3
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 2,358,223,1
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 3,319,204,
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 4,360,234,1
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 5,458,286,1
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 6,486,330,2
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 7,451,305,2
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 8,672,403,3
KHAMMAM,MANUGURU,Manugur,Revenue Ward No 9,308,164,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  1,533,298,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  10,262,162,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  11,264,131,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  12,107,66,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  13,399,217,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  14,385,216,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  15,236,159,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  16,486,288,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  17,274,118,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  18,288,131,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  19,53,29,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  2,442,238,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  20,852,440,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  21,281,159,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  22,919,515,7
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  23,448,283,4
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  24,170,122,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  25,297,158,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  26,239,147,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  27,247,148,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  28,278,167,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  29,89,67,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  3,285,177,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  30,325,169,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  31,212,119,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  32,99,46,2
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  33,3,3,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  34,101,65,1
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  35,14,7,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  36,42,15,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  37,18,4,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  38,56,14,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  39,280,136,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  4,309,135,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  5,1110,638,5
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  6,430,255,3
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  7,234,109,
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  8,353,154,3
KHAMMAM,PALWANCHA,Palwancha,Revenue Ward No  9,380,174,2
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 1,208,127,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 10,138,73,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 11,68,35,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 12,279,173,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 13,331,229,4
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 14,265,148,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 15,291,168,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 16,166,103,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 17,357,240,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 18,154,105,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 19,153,93,2
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 2,147,79,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 20,255,150,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 3,138,73,1
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 4,80,37,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 5,113,70,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 6,128,88,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 7,141,61,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 8,128,79,
KHAMMAM,SATHUPALLE,Sattupalle,Revenue Ward No 9,110,57,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  1,331,133,2
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  10,160,77,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  11,216,83,1
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  12,153,88,1
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  13,55,33,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  14,92,40,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  15,230,128,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  16,284,144,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  17,180,77,1
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  18,107,51,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  19,99,43,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  2,178,86,1
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  20,294,158,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  3,103,71,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  4,177,83,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  5,210,130,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  6,134,65,2
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  7,189,103,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  8,229,114,1
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No  9,201,94,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No 21,214,106,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No 22,204,117,
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No 23,267,139,3
KHAMMAM,YELLANDU,Yellandu,Revenue Ward No 24,129,76,
MAHABUBNAGAR,ACHAMPET,Achempeta,CHINTALBASTHI,128,66,
MAHABUBNAGAR,ACHAMPET,Achempeta,GOKULNAGAR COLONY,250,166,
MAHABUBNAGAR,ACHAMPET,Achempeta,INDRANAGAR COLONY,173,103,1
MAHABUBNAGAR,ACHAMPET,Achempeta,JUBLINAGAR ,192,116,1
MAHABUBNAGAR,ACHAMPET,Achempeta,KAMSALIGERI,2,,
MAHABUBNAGAR,ACHAMPET,Achempeta,KUMMARIVADA,25,10,
MAHABUBNAGAR,ACHAMPET,Achempeta,MADHURANAGAR COLONY,16,7,
MAHABUBNAGAR,ACHAMPET,Achempeta,MAHENDRANAGAR COLONY,278,167,
MAHABUBNAGAR,ACHAMPET,Achempeta,MARUTHINAGAR COLONY,142,74,
MAHABUBNAGAR,ACHAMPET,Achempeta,OLD BAZAR,44,16,
MAHABUBNAGAR,ACHAMPET,Achempeta,PERIKAVADA,104,40,1
MAHABUBNAGAR,ACHAMPET,Achempeta,SAINAGAR COLONY,211,103,
MAHABUBNAGAR,ACHAMPET,Achempeta,SRIRAMNAGAR COLONY,85,38,
MAHABUBNAGAR,ACHAMPET,Achempeta,TANGAPOOR,271,138,
MAHABUBNAGAR,ACHAMPET,Achempeta,VALAPATLA COLONY,98,86,
MAHABUBNAGAR,ACHAMPET,Achempeta,VENKATESHWARA & TEACHERS COLONY,189,92,2
MAHABUBNAGAR,ACHAMPET,Achempeta,VIDYANAGAR COLONY,107,62,
MAHABUBNAGAR,ACHAMPET,Achempeta,VINAYAKNAGAR COLONY,52,32,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.1,454,305,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.10,194,101,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.11,286,167,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.12,191,105,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.13,177,86,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.14,129,51,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.15,97,31,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.16,273,162,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.17,309,156,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.18,295,174,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.19,221,122,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.2,391,244,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.20,349,170,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.21,356,201,2
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.22,299,201,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.23,294,181,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.24,6,4,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.26,10,4,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.28,1,2,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.29,19,18,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.3,125,63,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.4,284,138,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.5,260,159,1
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.6,128,59,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.7,216,99,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.8,276,145,
MAHABUBNAGAR,FAROOQNAGAR,Shadnagar,Revenue Ward No.9,497,288,
MAHABUBNAGAR,GADWAL,Gadwal,Revenue Ward No  1,740,414,3
MAHABUBNAGAR,GADWAL,Gadwal,Revenue Ward No  10,115,77,
MAHABUBNAGAR,GADWAL,Gadwal,Revenue Ward No  11,88,38,
